log_month,log_date,app_name,user_id,payment
6,2013.6.1,game-01,351,13330
6,2013.6.1,game-01,12796,810
6,2013.6.1,game-01,364,5710
6,2013.6.1,game-01,13212,6480
6,2013.6.1,game-01,13212,11420
6,2013.6.1,game-01,13212,5710
6,2013.6.1,game-01,13212,13330
6,2013.6.1,game-01,3547,5710
6,2013.6.1,game-01,12644,810
6,2013.6.1,game-01,19,1620
6,2013.6.1,game-01,1359,810
6,2013.6.1,game-01,9757,13330
6,2013.6.2,game-01,117,13330
6,2013.6.2,game-01,117,5710
6,2013.6.2,game-01,128,810
6,2013.6.2,game-01,364,5710
6,2013.6.2,game-01,364,1620
6,2013.6.2,game-01,3,5710
6,2013.6.2,game-01,7064,5710
6,2013.6.2,game-01,734,810
6,2013.6.2,game-01,734,1620
6,2013.6.2,game-01,13212,5710
6,2013.6.2,game-01,13212,13330
6,2013.6.2,game-01,4171,0
6,2013.6.2,game-01,4171,1620
6,2013.6.2,game-01,8745,5710
6,2013.6.2,game-01,8745,3240
6,2013.6.2,game-01,3547,1620
6,2013.6.2,game-01,3547,5710
6,2013.6.2,game-01,435,5710
6,2013.6.2,game-01,19,5710
6,2013.6.2,game-01,19,810
6,2013.6.2,game-01,19,3240
6,2013.6.2,game-01,19,13330
6,2013.6.2,game-01,19,1620
6,2013.6.2,game-01,220,1620
6,2013.6.2,game-01,13444,2430
6,2013.6.2,game-01,71,5710
6,2013.6.2,game-01,71,13330
6,2013.6.2,game-01,71,11420
6,2013.6.2,game-01,246,1620
6,2013.6.2,game-01,246,810
6,2013.6.2,game-01,246,5710
6,2013.6.2,game-01,246,2430
6,2013.6.3,game-01,351,3330
6,2013.6.3,game-01,13015,810
6,2013.6.3,game-01,6544,5710
6,2013.6.3,game-01,11,3330
6,2013.6.3,game-01,220,1620
6,2013.6.3,game-01,12972,1620
6,2013.6.3,game-01,12972,810
6,2013.6.3,game-01,340,5710
6,2013.6.4,game-01,351,13330
6,2013.6.4,game-01,351,6660
6,2013.6.4,game-01,364,5710
6,2013.6.4,game-01,35,13330
6,2013.6.4,game-01,3,13330
6,2013.6.4,game-01,3,3330
6,2013.6.4,game-01,13015,5710
6,2013.6.4,game-01,435,3330
6,2013.6.4,game-01,286,25710
6,2013.6.4,game-01,286,3330
6,2013.6.4,game-01,10844,1620
6,2013.6.4,game-01,10844,4860
6,2013.6.4,game-01,1359,1620
6,2013.6.5,game-01,351,810
6,2013.6.5,game-01,286,5710
6,2013.6.5,game-01,2784,810
6,2013.6.5,game-01,6544,13330
6,2013.6.5,game-01,10844,1620
6,2013.6.5,game-01,10844,4860
6,2013.6.5,game-01,10844,810
6,2013.6.5,game-01,6459,1620
6,2013.6.5,game-01,14454,5710
6,2013.6.5,game-01,14729,1620
6,2013.6.5,game-01,246,5710
6,2013.6.6,game-01,364,5710
6,2013.6.6,game-01,159,810
6,2013.6.6,game-01,257,1620
6,2013.6.6,game-01,183,5710
6,2013.6.6,game-01,12233,4860
6,2013.6.6,game-01,220,1620
6,2013.6.6,game-01,6459,1620
6,2013.6.6,game-01,14454,5710
6,2013.6.6,game-01,14454,3240
6,2013.6.6,game-01,15146,1620
6,2013.6.6,game-01,13121,1620
6,2013.6.6,game-01,6482,13330
6,2013.6.7,game-01,128,1620
6,2013.6.7,game-01,351,13330
6,2013.6.7,game-01,157,4860
6,2013.6.7,game-01,3547,5710
6,2013.6.7,game-01,183,1620
6,2013.6.7,game-01,10460,810
6,2013.6.7,game-01,12897,810
6,2013.6.7,game-01,14454,4860
6,2013.6.7,game-01,1359,810
6,2013.6.7,game-01,963,810
6,2013.6.7,game-01,963,5710
6,2013.6.7,game-01,340,13330
6,2013.6.8,game-01,15539,1620
6,2013.6.8,game-01,3,5710
6,2013.6.8,game-01,257,1620
6,2013.6.8,game-01,734,810
6,2013.6.8,game-01,10487,5710
6,2013.6.8,game-01,71,13330
6,2013.6.8,game-01,14454,810
6,2013.6.8,game-01,235,13330
6,2013.6.8,game-01,12954,810
6,2013.6.8,game-01,246,1620
6,2013.6.8,game-01,340,13330
6,2013.6.8,game-01,340,5710
6,2013.6.9,game-01,128,810
6,2013.6.9,game-01,146,810
6,2013.6.9,game-01,3,13330
6,2013.6.9,game-01,15634,810
6,2013.6.9,game-01,14454,1620
6,2013.6.9,game-01,14454,5710
6,2013.6.9,game-01,14454,810
6,2013.6.9,game-01,14454,6480
6,2013.6.9,game-01,340,5710
6,2013.6.9,game-01,340,13330
6,2013.6.10,game-01,117,9520
6,2013.6.10,game-01,128,3330
6,2013.6.10,game-01,351,9520
6,2013.6.10,game-01,351,5710
6,2013.6.10,game-01,364,3330
6,2013.6.10,game-01,3,9520
6,2013.6.10,game-01,159,810
6,2013.6.10,game-01,497,810
6,2013.6.10,game-01,10287,5710
6,2013.6.10,game-01,11704,810
6,2013.6.10,game-01,15634,1620
6,2013.6.10,game-01,11,9520
6,2013.6.10,game-01,220,1620
6,2013.6.10,game-01,71,5710
6,2013.6.10,game-01,14454,810
6,2013.6.10,game-01,14454,6660
6,2013.6.10,game-01,1359,1620
6,2013.6.10,game-01,1359,3330
6,2013.6.10,game-01,235,9520
6,2013.6.10,game-01,14729,810
6,2013.6.10,game-01,246,810
6,2013.6.11,game-01,117,13330
6,2013.6.11,game-01,117,5710
6,2013.6.11,game-01,117,9520
6,2013.6.11,game-01,351,9520
6,2013.6.11,game-01,364,5710
6,2013.6.11,game-01,146,810
6,2013.6.11,game-01,13179,3330
6,2013.6.11,game-01,3,13330
6,2013.6.11,game-01,3,9520
6,2013.6.11,game-01,159,3330
6,2013.6.11,game-01,16320,1620
6,2013.6.11,game-01,16521,1620
6,2013.6.11,game-01,460,5710
6,2013.6.11,game-01,220,5710
6,2013.6.11,game-01,12941,810
6,2013.6.11,game-01,3880,810
6,2013.6.11,game-01,6459,5710
6,2013.6.11,game-01,1359,810
6,2013.6.11,game-01,963,5710
6,2013.6.11,game-01,6482,9520
6,2013.6.12,game-01,15803,810
6,2013.6.12,game-01,15803,5710
6,2013.6.12,game-01,128,810
6,2013.6.12,game-01,364,1620
6,2013.6.12,game-01,364,5710
6,2013.6.12,game-01,14766,810
6,2013.6.12,game-01,14766,5710
6,2013.6.12,game-01,14766,1620
6,2013.6.12,game-01,16708,810
6,2013.6.12,game-01,15634,810
6,2013.6.12,game-01,15110,810
6,2013.6.12,game-01,15110,5710
6,2013.6.12,game-01,15647,1620
6,2013.6.12,game-01,71,13330
6,2013.6.12,game-01,14880,810
6,2013.6.12,game-01,10384,810
6,2013.6.12,game-01,246,1620
6,2013.6.12,game-01,340,13330
6,2013.6.13,game-01,351,13330
6,2013.6.13,game-01,364,13330
6,2013.6.13,game-01,35,13330
6,2013.6.13,game-01,9376,1620
6,2013.6.13,game-01,15936,810
6,2013.6.13,game-01,10460,810
6,2013.6.13,game-01,286,5710
6,2013.6.13,game-01,1359,810
6,2013.6.13,game-01,12954,810
6,2013.6.13,game-01,16905,5710
6,2013.6.13,game-01,963,810
6,2013.6.13,game-01,963,5710
6,2013.6.14,game-01,35,13330
6,2013.6.14,game-01,35,1620
6,2013.6.14,game-01,13179,810
6,2013.6.14,game-01,257,1620
6,2013.6.14,game-01,15936,5710
6,2013.6.14,game-01,535,810
6,2013.6.14,game-01,10844,3240
6,2013.6.14,game-01,71,3240
6,2013.6.14,game-01,6459,6480
